date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:59:34	449/449	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Jan%202026%2008:55:52%20GMT	https://399-bet.net/app	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/399-bet.net/app.html	(from )
00:59:34	449/449	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202026%2010:54:08%20GMT	https://zg66.org/	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/zg66.org/index.html	(from )
00:59:34	449/449	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jan%202026%2007:02:51%20GMT	https://4777det.com/	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/4777det.com/index.html	(from )
00:59:35	449/449	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Jan%202026%2008:28:46%20GMT	https://477bdt.com/	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/477bdt.com/index.html	(from )
00:59:36	4147/4147	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Nov%202025%2013:36:58%20GMT	https://cv33.org/en	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/cv33.org/en.html	(from )
00:59:36	449/449	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202026%2008:46:36%20GMT	https://kg222.net/	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/kg222.net/index.html	(from )
00:59:36	449/449	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202026%2011:58:21%20GMT	https://ct99pk.com/	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/ct99pk.com/index.html	(from )
00:59:37	449/449	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jan%202026%2007:20:06%20GMT	https://tbaji.org/	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/tbaji.org/index.html	(from )
00:59:37	77/77	---MCZ	200	added ('OK')	text/plain	etag:W/%22696775d1-3d%22	https://zg66.org/robots.txt		(from )
00:59:38	449/449	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Nov%202025%2013:39:34%20GMT	https://kbaje.com/	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/kbaje.com/index.html	(from )
00:59:38	760/760	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Dec%202025%2012:59:42%20GMT	https://tap-555.com/	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/tap-555.com/index.html	(from )
00:59:38	44736/44736	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Dec%202025%2018:13:20%20GMT	https://tap555.net/	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/tap555.net/index.html	(from )
00:59:38	13280/13280	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2011:33:16%20GMT	https://66zk.net/	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/66zk.net/index.html	(from )
00:59:39	449/449	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Feb%202026%2013:46:13%20GMT	https://5777-bed.com/	D:/CURSOR-PROJECTS/MY-SITE-GENERATOR/site-builder/docs/site-reference/any_sites/any_sites/5777-bed.com/index.html	(from )
